title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images,administration,bodega,cocina,conservation_state,construction_age,construction_year,deposit,elevator,finish_quality,floor,interior_exterior,location_quality,loft,mezanine,price_per_m2,property_code,study_room,terrace_area,walking_closet
,$ 405.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Casa en venta en alameda, bogotá",$ 530.000.000,,107 m²,,3.0,2,,Casa,VENTA,Gimnasio,,https://www.fincaraiz.com.co/casa-en-venta-en-alameda-bogota/193133557,https://cdn4.fincaraiz.com.co/gen-ai/th.outside384x275.enhanced_image_20251125144730.png,,False,True,4,,,False,False,4,,,5,False,False,4953271.03,193133557,False,,False
"Casa en venta en alameda, bogotá",$ 530.000.000,,107 m²,,3.0,2,,Casa,VENTA,Gimnasio,,https://www.fincaraiz.com.co/casa-en-venta-en-alameda-bogota/193133557,https://cdn4.fincaraiz.com.co/gen-ai/th.outside384x275.enhanced_image_20251125144730.png,,False,True,4,,,False,False,4,,,5,False,False,4953271.03,193133557,False,,False
,$ 530.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Edificio en venta en simon bolivar, bogotá",$ 850.000.000,,200 m²,,4.0,,,Apartamento,VENTA,Estudio,,https://www.fincaraiz.com.co/edificio-en-venta-en-simon-bolivar-bogota/193134369,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6925e7bb5b309_infocdn__14434-1-1764090120-1jpg.jpg,,False,True,4,,,False,False,4,,,5,False,False,4250000.0,193134369,True,,False
"Edificio en venta en simon bolivar, bogotá",$ 850.000.000,,200 m²,,4.0,,,Apartamento,VENTA,Estudio,,https://www.fincaraiz.com.co/edificio-en-venta-en-simon-bolivar-bogota/193134369,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6925e7bb5b309_infocdn__14434-1-1764090120-1jpg.jpg,,False,True,4,,,False,False,4,,,5,False,False,4250000.0,193134369,True,,False
,$ 850.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
"Apartamento en venta en bogotá, d.c., bogotá",$ 500.000.000,,60 m²,,1.0,,,Apartamento,VENTA,Balcón; Closet,,https://www.fincaraiz.com.co/apartamento-en-venta-en-bogota-dc-bogota/193144695,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.692859161b3a9_infocdn__shfkqw24ddextds1urqu8neccnreduhy8cba0uiqjpg.jpg,,False,True,4,10,,False,False,4,,,5,False,False,8333333.33,193144695,False,,True
"Apartamento en venta en bogotá, d.c., bogotá",$ 500.000.000,,60 m²,,1.0,,,Apartamento,VENTA,Balcón; Closet,,https://www.fincaraiz.com.co/apartamento-en-venta-en-bogota-dc-bogota/193144695,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.692859161b3a9_infocdn__shfkqw24ddextds1urqu8neccnreduhy8cba0uiqjpg.jpg,,False,True,4,10,,False,False,4,,,5,False,False,8333333.33,193144695,False,,True
,$ 500.000.000,,,,,,,,,,,,,,False,False,4,,,False,False,4,,,5,False,False,0.0,,False,,False
