address,operation,area_habitable,terrace,area_total,administration,bedrooms,bathrooms,parking,walking_closet,loft,study_room,floor,deposit,terrace_area,construction_age,interior_exterior,elevator,finish_quality,conservation_state,location_quality,stratum,observations,contact_method,contact_info,pricing
"Apartamento en venta en bella suiza, bogotá",VENTA,115.0,True,0.0,0.0,0,3.0,0,False,False,False,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 115.0, ""price_per_m2"": 0.0, ""total_area"": 115.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en santa barbara central, bogotá",VENTA,100.0,False,0.0,0.0,3,2.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,5,,,,"{""area"": 100.0, ""price_per_m2"": 0.0, ""total_area"": 100.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en santa barbara central, bogotá",VENTA,100.0,False,0.0,0.0,3,2.0,0,True,False,False,0,0,0.0,0,I,False,3,3,3,5,,,,"{""area"": 100.0, ""price_per_m2"": 0.0, ""total_area"": 100.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en santa ana occidental, bogotá",VENTA,132.0,False,0.0,0.0,0,3.0,0,False,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 132.0, ""price_per_m2"": 5.666666666666667, ""total_area"": 132.0, ""total_price_per_m2"": 5.666666666666667, ""admin_per_m2"": 0.0}"
"Apartamento en venta en santa ana occidental, bogotá",VENTA,132.0,False,0.0,0.0,0,3.0,0,False,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 132.0, ""price_per_m2"": 5.666666666666667, ""total_area"": 132.0, ""total_price_per_m2"": 5.666666666666667, ""admin_per_m2"": 0.0}"
"Apartamento en venta en santa paula, bogotá",VENTA,138.0,False,0.0,0.0,3,3.0,2,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 138.0, ""price_per_m2"": 0.0, ""total_area"": 138.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en santa paula, bogotá",VENTA,138.0,False,0.0,0.0,3,3.0,2,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 138.0, ""price_per_m2"": 0.0, ""total_area"": 138.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,115.0,False,0.0,0.0,3,3.0,2,False,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 115.0, ""price_per_m2"": 0.0, ""total_area"": 115.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en colina campestre, bogotá",VENTA,115.0,False,0.0,0.0,3,3.0,2,False,False,True,0,0,0.0,0,I,True,3,3,3,0,,,,"{""area"": 115.0, ""price_per_m2"": 0.0, ""total_area"": 115.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en puente largo, bogotá",VENTA,126.0,False,0.0,0.0,0,3.0,1,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 126.0, ""price_per_m2"": 0.0, ""total_area"": 126.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en puente largo, bogotá",VENTA,126.0,False,0.0,0.0,0,3.0,1,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 126.0, ""price_per_m2"": 0.0, ""total_area"": 126.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en puente largo, bogotá",VENTA,18.0,True,0.0,0.0,2,2.0,2,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 18.0, ""price_per_m2"": 0.0, ""total_area"": 18.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en venta en puente largo, bogotá",VENTA,18.0,True,0.0,0.0,2,2.0,2,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 18.0, ""price_per_m2"": 0.0, ""total_area"": 18.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en robledo, medellín",ARRIENDO,50.0,False,0.0,0.0,2,2.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,3044328635,"{""area"": 50.0, ""price_per_m2"": 0.0, ""total_area"": 50.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en robledo, medellín",ARRIENDO,50.0,False,0.0,0.0,2,2.0,0,True,False,False,0,0,0.0,0,I,True,3,3,3,0,,,3044328635,"{""area"": 50.0, ""price_per_m2"": 0.0, ""total_area"": 50.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
"Apartamento en arriendo en campo valdes no.1, medellín",ARRIENDO,55.0,False,0.0,0.0,0,1.0,0,False,False,False,0,0,0.0,0,I,False,3,3,3,0,,,,"{""area"": 55.0, ""price_per_m2"": 0.0, ""total_area"": 55.0, ""total_price_per_m2"": 0.0, ""admin_per_m2"": 0.0}"
