title,price,address,area,bedrooms,bathrooms,parking,stratum,property_type,operation,amenities,contact,property_url,images
"Apartamento en arriendo en san antonio de prado, medellín",,,45 m²,2,1.0,,,Apartamento,ARRIENDO,Ascensor; Vigilancia; Closet,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-san-antonio-de-prado-medellin/192889633,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cdb77a8eb4a_infocdn__61985-1-1758223359-1jpg.jpg
"Apartamento en arriendo en san antonio de prado, medellín",,,45 m²,2,1.0,,,Apartamento,ARRIENDO,Ascensor; Vigilancia; Closet,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-san-antonio-de-prado-medellin/192889633,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cdb77a8eb4a_infocdn__61985-1-1758223359-1jpg.jpg
"Apartamento en arriendo en calasanz, medellín",$1.350.000,,55 m²,2,1.0,,,Apartamento,ARRIENDO,Parqueadero; Closet,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/192877768,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c9882dacf8d_infocdn__sb9oy42lau74vgmao9gnkx97rv9gjce7yrj5mjyajpg.jpg
"Apartamento en arriendo en calasanz, medellín",$1.350.000,,55 m²,2,1.0,,,Apartamento,ARRIENDO,Parqueadero; Closet,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-calasanz-medellin/192877768,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68c9882dacf8d_infocdn__sb9oy42lau74vgmao9gnkx97rv9gjce7yrj5mjyajpg.jpg
Apartamento en arriendo en medellín,,,46 m²,,1.0,,3,Apartamento,ARRIENDO,Ascensor; Balcón; Piscina; Parqueadero,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-medellin/192885809,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cb3ede63014_infocdn__gr-arriendo-robledo-a-500-metros-1758148958-5535-5549jpeg.jpeg
Apartamento en arriendo en medellín,,,46 m²,,1.0,,3,Apartamento,ARRIENDO,Ascensor; Balcón; Piscina; Parqueadero,,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-medellin/192885809,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cb3ede63014_infocdn__gr-arriendo-robledo-a-500-metros-1758148958-5535-5549jpeg.jpeg
"Apartamento en arriendo en villa hermosa, medellín",,,45 m²,2,1.0,,,Apartamento,ARRIENDO,Closet,300 207 4401,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-villa-hermosa-medellin/192883068,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cac2769d02d_infocdn__62046-1-1758118361-1jpg.jpg
"Apartamento en arriendo en villa hermosa, medellín",,,45 m²,2,1.0,,,Apartamento,ARRIENDO,Closet,300 207 4401,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-villa-hermosa-medellin/192883068,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cac2769d02d_infocdn__62046-1-1758118361-1jpg.jpg
"Apartamento en arriendo en cucaracho, medellín",,,45 m²,3,1.0,,,Apartamento,ARRIENDO,,604 4752340,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cucaracho-medellin/192881142,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cada1065069_infocdn__1ed6c608-2567-489d-9916-43a906e1a03b.jpeg
"Apartamento en arriendo en cucaracho, medellín",,,45 m²,3,1.0,,,Apartamento,ARRIENDO,,604 4752340,https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cucaracho-medellin/192881142,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68cada1065069_infocdn__1ed6c608-2567-489d-9916-43a906e1a03b.jpeg
Casa en arriendo en medellín,,,40 m²,2,1.0,,,Apartamento,ARRIENDO,Parqueadero,,https://www.fincaraiz.com.co/casa-en-arriendo-en-medellin/192875041,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68ccc2d2ceba0_infocdn__70602f2jpeg.jpeg
Casa en arriendo en medellín,,,40 m²,2,1.0,,,Apartamento,ARRIENDO,Parqueadero,,https://www.fincaraiz.com.co/casa-en-arriendo-en-medellin/192875041,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68ccc2d2ceba0_infocdn__70602f2jpeg.jpeg
