address,operation,area_habitable,terrace,area_total,administration,bedrooms,bathrooms,parking,walking_closet,loft,study_room,floor,deposit,terrace_area,construction_age,interior_exterior,elevator,finish_quality,conservation_state,location_quality,stratum,observations,contact_method,contact_info,pricing,price_per_m2,total_price_per_m2,admin_per_m2
"Apartamento en venta en montevideo, bogotá",VENTA,65.0,True,0.0,0.0,0,2.0,0,False,False,True,0,0,0.0,0,I,True,4,4,5,0,,,,"{""area"": 65.0, ""price_per_m2"": 8753846.15, ""total_area"": 65.0, ""total_price_per_m2"": 8753846.15, ""admin_per_m2"": 0.0}",8753846.15,8753846.15,0.0
"Apartamento en venta en montevideo, bogotá",VENTA,65.0,True,0.0,0.0,0,2.0,0,False,False,True,0,0,0.0,0,I,True,4,4,5,0,,,,"{""area"": 65.0, ""price_per_m2"": 8753846.15, ""total_area"": 65.0, ""total_price_per_m2"": 8753846.15, ""admin_per_m2"": 0.0}",8753846.15,8753846.15,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en san martin, bogotá",VENTA,25.0,True,0.0,0.0,0,2.0,0,False,False,False,7,0,0.0,0,I,True,4,4,5,0,,,,"{""area"": 25.0, ""price_per_m2"": 17200000.0, ""total_area"": 25.0, ""total_price_per_m2"": 17200000.0, ""admin_per_m2"": 0.0}",17200000.0,17200000.0,0.0
"Apartamento en venta en san martin, bogotá",VENTA,25.0,True,0.0,0.0,0,2.0,0,False,False,False,7,0,0.0,0,I,True,4,4,5,0,,,,"{""area"": 25.0, ""price_per_m2"": 17200000.0, ""total_area"": 25.0, ""total_price_per_m2"": 17200000.0, ""admin_per_m2"": 0.0}",17200000.0,17200000.0,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en cedritos, bogotá",VENTA,1.0,True,0.0,0.0,3,2.0,1,False,False,False,0,0,0.0,37,I,False,4,4,5,0,,,,"{""area"": 1.0, ""price_per_m2"": 460000000.0, ""total_area"": 1.0, ""total_price_per_m2"": 460000000.0, ""admin_per_m2"": 0.0}",460000000.0,460000000.0,0.0
"Apartamento en venta en cedritos, bogotá",VENTA,1.0,True,0.0,0.0,3,2.0,1,False,False,False,0,0,0.0,37,I,False,4,4,5,0,,,,"{""area"": 1.0, ""price_per_m2"": 460000000.0, ""total_area"": 1.0, ""total_price_per_m2"": 460000000.0, ""admin_per_m2"": 0.0}",460000000.0,460000000.0,0.0
Dirección no disponible,VENTA,0.0,False,0.0,0.0,0,0.0,0,False,False,False,0,0,0.0,0,I,False,4,4,5,0,,,,"{""area"": 0.0, ""price_per_m2"": 0, ""total_area"": 0.0, ""total_price_per_m2"": 0, ""admin_per_m2"": 0}",0,0,0
"Apartamento en venta en cedritos, bogotá",VENTA,137.0,True,0.0,0.0,5,4.0,0,False,False,True,0,0,0.0,13,I,False,4,4,5,0,,,,"{""area"": 137.0, ""price_per_m2"": 5547445.26, ""total_area"": 137.0, ""total_price_per_m2"": 5547445.26, ""admin_per_m2"": 0.0}",5547445.26,5547445.26,0.0
"Apartamento en venta en cedritos, bogotá",VENTA,137.0,True,0.0,0.0,5,4.0,0,False,False,True,0,0,0.0,13,I,False,4,4,5,0,,,,"{""area"": 137.0, ""price_per_m2"": 5547445.26, ""total_area"": 137.0, ""total_price_per_m2"": 5547445.26, ""admin_per_m2"": 0.0}",5547445.26,5547445.26,0.0
